x,sinx
0,0
0.1,0.099833416646828155
0.2,0.19866933079506122
0.3,0.29552020666133955
0.4,0.38941834230865052
0.5,0.479425538604203
0.6,0.56464247339503537
0.7,0.644217687237691
0.8,0.71735609089952279
0.9,0.78332690962748341
1,0.8414709848078965
1.1,0.89120736006143542
1.2,0.93203908596722629
1.3,0.963558185417193
1.4,0.98544972998846014
1.5,0.99749498660405445
1.6,0.99957360304150511
1.7,0.99166481045246857
1.8,0.97384763087819515
1.9,0.94630008768741447
2,0.90929742682568171
2.1,0.86320936664887371
2.2,0.80849640381959009
2.3,0.74570521217672026
2.4,0.675463180551151
2.5,0.59847214410395655
2.6,0.51550137182146416
2.7,0.42737988023382978
2.8,0.33498815015590511
2.9,0.23924932921398243
3,0.14112000805986721
3.1,0.041580662433290491
3.2,-0.058374143427580086
3.3,-0.15774569414324821
3.4,-0.25554110202683122
3.5,-0.35078322768961984
3.6,-0.44252044329485246
3.7,-0.5298361409084934
3.8,-0.61185789094271892
3.9,-0.68776615918397377
4,-0.7568024953079282
4.1,-0.81827711106441026
4.2,-0.87157577241358819
4.3,-0.9161659367494549
4.4,-0.951602073889516
4.5,-0.977530117665097
4.6,-0.99369100363346441
4.7,-0.99992325756410083
4.8,-0.99616460883584068
4.9,-0.98245261262433248
5,-0.95892427466313845
5.1,-0.92581468232773245
5.2,-0.88345465572015314
5.3,-0.83226744222390125
5.4,-0.77276448755598715
5.5,-0.70554032557039192
5.6,-0.63126663787232162
5.7,-0.55068554259763758
5.8,-0.46460217941375737
5.9,-0.373876664830236
6,-0.27941549819892586
6.1,-0.18216250427209588
6.2,-0.0830894028174964
6.3,0.016813900484349713
6.4,0.11654920485049364
6.5,0.21511998808781552
6.6,0.31154136351337786
6.7,0.4048499206165983
6.8,0.49411335113860816
6.9,0.57843976438820011
7,0.65698659871878906
7.1,0.72896904012587593
7.2,0.79366786384915311
7.3,0.8504366206285644
7.4,0.89870809581162692
7.5,0.9379999767747389
7.6,0.96791967203148632
7.7,0.98816823387700037
7.8,0.998543345374605
7.9,0.998941341839772
8,0.98935824662338179
8.1,0.9698898108450863
8.2,0.94073055667977312
8.3,0.90217183375629328
8.4,0.85459890808828043
8.5,0.79848711262349026
8.6,0.73439709787411334
8.7,0.66296923008218334
8.8,0.58491719289176169
8.9,0.50102085645788463
9,0.41211848524175659
9.1,0.31909836234935213
9.2,0.22288991410024764
9.3,0.12445442350706171
9.4,0.024775425453357765
9.5,-0.0751511204618093
9.6,-0.17432678122297965
9.7,-0.27176062641094245
9.8,-0.36647912925192838
9.9,-0.45753589377532133
